ACC
BLCA
BRCA_1
BRCA_2
CESC
COAD_READ.
GBM.
HNSC
KICH
KIRC
KIRP
LAML
LGG
LIHC
LUAD
LUSC
MESO
OV
PAAD
PCPG
PRAD
SARC
SKCM
STES.
TGCT
THCA
THYM
UCEC
UVM
