TF	gene	ctype	RP	cor	clst	BP
AFF4	MAN1A2	ACC	0.790852480137427	0.62904694167852	2	0.497483333949321
AFF4	STT3B	ACC	0.964623147949324	0.425234708392603	2	0.410191243026986
AFF4	NEU3	ACC	0.916845608761005	0.612972972972973	2	0.562001578559449
AFF4	MAN2A1	ACC	0.757783981103715	0.721137980085348	2	0.546466809474167
AFF4	SLC35A5	ACC	0.826873523727722	0.463726884779516	2	0.383443483264918
AFF4	COG6	ACC	0.790852480137427	0.634850640113798	2	0.50207320325083
AFF4	LAMP2	ACC	0.81087610049388	0.538349928876245	2	0.436535091028327
AHR	HAS2	ACC	0.912609372483762	0.5232892356272	1	0.477558660953246
AHR	FUT8	ACC	0.951312469805143	0.420910384068279	1	0.400417297034626
ATF1	SLC35A5	ACC	0.902297616491303	0.512403982930299	2	0.462340892478659
ATF1	STT3B	ACC	0.699001503113592	0.526856330014225	2	0.368273366604854
ATF1	SLC35A3	ACC	0.669476057547778	0.530071123755334	2	0.354869926151641
ATF1	PIGO	ACC	0.992216018896285	0.454537695590327	2	0.450999582756926
ATF7IP	ALG10	ACC	0.916474314241237	0.596927453769559	10	0.547068678845224
ATF7IP	ALG10B	ACC	0.928283858500188	0.558947368421053	10	0.518861819856421
BCAT1	MAN1B1	ACC	0.98588222663589	0.471977240398293	5	0.465313972685332
BCLAF1	GANAB	ACC	0.99227011648505	0.40022759601707	7	0.39713388332039
BCOR	MGAT2	ACC	0.984486553223469	0.448591749644381	1	0.441632545411882
BCOR	ST3GAL2	ACC	0.994148907617156	0.419687055476529	1	0.417231427743052
BRD7	UGGT2	ACC	0.99361211015084	0.458918918918919	4	0.455987395415169
BRD7	C1GALT1C1	ACC	0.926082988888292	0.626173541963016	4	0.579888665303878
C17orf49	B3GAT3	ACC	0.988029416501154	0.419374110953058	11	0.41435395814064
C17orf49	TSTA3	ACC	0.950668312845563	0.430128022759602	11	0.408909081704469
C17orf49	HYAL2	ACC	0.97342852541736	0.479431009957326	11	0.466691821062116
CAMTA2	ALG2	ACC	0.938375650866928	0.40176386913229	2	0.377005432191828
CBX4	FUT2	ACC	0.945783455902088	0.617724039829303	1	0.584233177183557
CD59	LAMP2	ACC	0.94449514198293	0.445291607396871	4	0.420575759952115
CEBPG	SLC35B4	ACC	0.940898598958613	0.428790896159317	6	0.403448753442509
CHD4	NEU3	ACC	0.956089967255355	0.488136557610242	2	0.466702465381718
CREB3	PIGO	ACC	0.948682162220194	0.419800853485064	2	0.398257581386093
CREB3	ALG2	ACC	0.985345429169574	0.532204836415363	2	0.524405602943819
CSNK2A1	SLC35E3	ACC	0.973160126684202	0.422560455192034	4	0.411218986106414
CSNK2A1	COG7	ACC	0.9670406355682	0.485917496443812	4	0.469901964594732
DAXX	DAD1	ACC	0.9320414407644	0.562361308677098	1	0.524144044369556
DAXX	HYAL3	ACC	0.961082183692093	0.493229018492176	1	0.474033622152768
DDIT3	GM2A	ACC	0.955821568522197	0.401849217638691	12	0.384096149512831
DOT1L	POMT2	ACC	0.985667507649364	0.517268847795164	9	0.509855095990917
ERG	CHST15	ACC	0.859512561735023	0.603357041251778	13	0.51859295616718
ERG	GCNT2	ACC	0.998818982177367	0.734423897581792	13	0.73355652986938
FUS	SLC35E1	ACC	0.955821568522197	0.4249786628734	1	0.406203772136119
GAPDH	GPI	ACC	0.954157496376617	0.586059743954481	14	0.559193298018729
GLYR1	COG7	ACC	0.921788609157765	0.660853485064011	4	0.609167214854216
GLYR1	ALG1	ACC	0.953513339417038	0.624409672830725	4	0.595382952305125
GLYR1	COG5	ACC	0.966396478608621	0.426401137980085	4	0.412072558218663
GLYR1	PIGK	ACC	0.975683074775887	0.572432432432432	4	0.558512635777115
GTF2I	COG5	ACC	0.923448572042087	0.696756756756757	2	0.643419032087703
GTF2I	SLC35A3	ACC	0.970206141292678	0.62674253200569	2	0.608069453561243
GTF2I	COG6	ACC	0.926776894996779	0.559829302987198	2	0.518836863150686
HBP1	SLC35B4	ACC	0.992055397498524	0.508563300142247	6	0.504522966875778
HCFC1	PIGO	ACC	0.987223534464247	0.521564722617354	2	0.514900968914169
HCFC1	MAN1A2	ACC	0.792570324243075	0.548790896159317	2	0.434955378510638
HCFC1	SLC35A5	ACC	0.922965428387374	0.558662873399715	2	0.515626518271489
HECTD1	UGCG	ACC	0.975575715282624	0.483613086770981	3	0.471801183046638
HEXIM1	COG1	ACC	0.962531536851146	0.510298719772404	8	0.491178610995704
HEXIM1	PIGW	ACC	0.945031939449246	0.453968705547653	8	0.429014926252962
HIF1A	MAN2A1	ACC	0.78516212153747	0.641906116642959	3	0.504000368371264
HINFP	MOGS	ACC	0.999194803800526	0.435448079658606	5	0.435097458519797
HINFP	POMT1	ACC	0.934779107842611	0.555533428165007	5	0.519301042356832
